MCP Client Name,MCP Client Main URL,MCP Client Source Code URL,Listed In modelcontextprotocol.io
MCPOmni Connect,https://github.com/Abiorh001/mcp_omni_connect,https://github.com/Abiorh001/mcp_omni_connect,Yes
Memex,https://memex.tech/,,Yes
Microsoft Copilot Studio,https://learn.microsoft.com/en-us/microsoft-copilot-studio/agent-extend-action-mcp,,Yes
MindPal,https://mindpal.io,https://github.com/mindpal-ai/mindpal,Yes
Mistral AI: Le Chat,https://chat.mistral.ai,,Yes
modelcontextchat.com,https://modelcontextchat.com,,Yes
MooPoint,https://moopoint.io,,Yes
Msty Studio,https://msty.ai,,Yes
Needle,https://needle.app,,Yes
Nerve,https://github.com/evilsocket/nerve,https://github.com/evilsocket/nerve,No
NextChat,https://nextchat.club/,https://github.com/ChatGPTNextWeb/NextChat,No
NVIDIA Agent Intelligence toolkit,https://github.com/NVIDIA/AIQToolkit,https://github.com/NVIDIA/AIQToolkit,Yes
OpenSumi,https://github.com/opensumi/core,https://github.com/opensumi/core,Yes
oterm,https://github.com/ggozad/oterm,https://github.com/ggozad/oterm,Yes
Postman,https://postman.com/downloads,,Yes
Qordinate,https://qordinate.ai/,,No
RecurseChat,https://recurse.chat/,,Yes
Replit,https://replit.com,,Yes
Roo Code,https://roocode.com,,Yes
Runbear,https://runbear.io,https://github.com/runbear-io,No
SeekChat,https://seekrays.com/chat/,https://github.com/seekrays/seekchat,No
Shortwave,https://www.shortwave.com,,Yes
Simple AI,https://simple-ai.io,https://github.com/gcc3/simple-ai-chat,No
Simtheory,https://simtheory.ai,,Yes
Slack MCP Client,https://github.com/tuannvm/slack-mcp-client,https://github.com/tuannvm/slack-mcp-client,Yes
Smithery Playground,https://smithery.ai/playground,,Yes
SpinAI,https://docs.spinai.dev,,Yes
Superinterface,https://superinterface.ai,https://github.com/supercorp-ai/superinterface,Yes
Superjoin,https://superjoin.ai,,Yes
Swarms,https://github.com/kyegomez/swarms,https://github.com/kyegomez/swarms,Yes
systemprompt,https://systemprompt.io,,Yes
Tambo,https://tambo.co,https://github.com/tambo-ai/tambo,Yes
Tencent CloudBase AI DevKit,https://docs.cloudbase.net/ai/agent/mcp,,Yes
Tester MCP Client,https://apify.com/jiri.spilka/tester-mcp-client,https://github.com/apify/tester-mcp-client,No
TheiaAI/TheiaIDE,https://eclipsesource.com/blogs/2024/12/19/theia-ide-and-theia-ai-support-mcp/,,Yes
Tome,https://runebook.ai,https://github.com/runebookai/tome,Yes
TypingMind App,https://www.typingmind.com,,Yes
Vercade,https://discord.gg/EMnkGjAh9v,https://github.com/lintyourcode/vercade,No
VS Code GitHub Copilot,https://code.visualstudio.com/,https://github.com/microsoft/vscode,Yes
VT Code,https://github.com/vinhnx/vtcode,https://github.com/vinhnx/vtcode,Yes
Warp,https://www.warp.dev/,,Yes
WhatsMCP,https://wassist.app/mcp/,,Yes
Windsurf,https://codeium.com/windsurf,,No
Windsurf Editor,https://codeium.com/windsurf,,Yes
Witsy,https://witsyai.com,https://github.com/nbonamy/witsy,Yes
y-cli,https://github.com/luohy15/y-cli,https://github.com/luohy15/y-cli,No
Zed,https://zed.dev/,https://github.com/zed-industries/zed,Yes
Zencoder,https://zencoder.ai,,Yes
Zin-MCP-Client,https://github.com/zinja-coder/zin-mcp-client,https://github.com/zinja-coder/zin-mcp-client,No
